"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"129","Q9BRA2_TXNDC17","Q9BRA2_TXNDC17","-0.0755","-0.0745","0.2154","-0.083"
"130","P16402_HIST1H1D","P16402_HIST1H1D","-0.0225","0.2149","-0.0466","-0.1372"
"131","P59665_DEFA1","P59665_DEFA1","0.0512","0.0852","-0.2146","0.0988"
"132","P00924_ENO1","P00924_ENO1","0.1833","-0.2139","-0.0913","0.1104"
"133","P06310","P06310","0.0948","0.0327","0.0643","-0.2117"
"134","P02814_SMR3B","P02814_SMR3B","-0.0254","-0.2039","0.0186","0.2116"
"135","P16401_HIST1H1B","P16401_HIST1H1B","0.0871","0.0659","-0.2105","0.073"
"136","Q02413_DSG1","Q02413_DSG1","0.0375","0.2101","-0.1139","-0.1243"
"137","O00764_PDXK","O00764_PDXK","0.087","0.2095","-0.1006","-0.1942"
"138","P00441_SOD1","P00441_SOD1","-0.1628","0.1404","-0.1461","0.2071"
"139","Q14974_KPNB1","Q14974_KPNB1","0.2057","-0.0441","-0.0641","-0.1153"
"140","B4E1Z4_CFB","B4E1Z4_CFB","0.205","-0.1565","0.0086","-0.0838"
"141","F5H5D3_TUBA1C","F5H5D3_TUBA1C","0.2044","-0.0362","-0.1347","-0.0422"
"142","P02647_APOA1","P02647_APOA1","0.0775","-0.2037","0.0989","0.0053"
"143","P20160_AZU1","P20160_AZU1","0.1647","0.1268","-0.0979","-0.2019"
"144","A0A075B6R9","A0A075B6R9","0.2018","-0.0235","-0.1564","-0.0276"
"145","Q02487_DSC2","Q02487_DSC2","-0.1958","0.2017","-0.0932","0.1234"
"146","C9JV77_AHSG","C9JV77_AHSG","-0.1987","0.0084","0.0912","0.1125"
"147","K7ELL7_PRKCSH","K7ELL7_PRKCSH","-0.1179","-0.197","0.1669","0.1419"
"148","P02675_FGB","P02675_FGB","0.1405","-0.1959","0.0987","-0.0731"
"149","P31146_CORO1A","P31146_CORO1A","-0.0362","0.1957","-0.0336","-0.1171"
"150","Q9HC84_MUC5B","Q9HC84_MUC5B","0.0203","0.1309","-0.1939","0.0644"
"151","P12273_PIP","P12273_PIP","-0.0876","0.1939","-0.1506","0.0741"
"152","C9JC84_FGG","C9JC84_FGG","0.1226","-0.1923","0.0708","-0.0252"
"153","P02671_FGA","P02671_FGA","0.1234","-0.1916","0.0384","0.0095"
"154","Q9UBG3_CRNN","Q9UBG3_CRNN","0.1915","-0.0075","-0.1298","-0.062"
"155","P00738_HP","P00738_HP","-0.0086","-0.1903","0.169","0.0098"
"156","P40121_CAPG","P40121_CAPG","0.0599","0.081","-0.1901","0.0656"
"157","P01009_SERPINA1","P01009_SERPINA1","-0.1308","-0.1885","0.1496","0.1673"
"158","P09429_HMGB1","P09429_HMGB1","0.1874","-0.0187","-0.1468","-0.027"
"159","P01024_C3","P01024_C3","0.0822","-0.1859","0.0919","-0.01"
"160","P02790_HPX","P02790_HPX","0.0723","-0.1854","0.1343","-0.0471"
"161","P55058_PLTP","P55058_PLTP","-0.1845","0.0924","-0.0073","0.1234"
"162","O15511_2_ARPC5","O15511_2_ARPC5","0.0936","-0.1688","-0.1075","0.1845"
"163","P69905_HBA1","P69905_HBA1","0.1837","-0.1165","-0.0689","-0.0127"
"164","Q9BRF8_CPPED1","Q9BRF8_CPPED1","0.1006","0.0421","-0.1826","0.0501"
"165","Q9H0U4_RAB1B","Q9H0U4_RAB1B","0.1823","-0.1135","0.0643","-0.164"
"166","P06870_KLK1","P06870_KLK1","-0.1818","0.1481","-0.0704","0.1357"
"167","P07339_CTSD","P07339_CTSD","-0.1091","0.1808","-0.0484","-0.0036"
"168","CON__P01966","CON__P01966","-4e-04","-0.1071","-0.065","0.1806"
"169","A0A087WSX4","A0A087WSX4","-0.1805","0.0938","0.1377","-0.0457"
"170","P04083_ANXA1","P04083_ANXA1","0.135","0.0231","-0.1796","0.0271"
"171","P01859_IGHG2","P01859_IGHG2","0.0619","-0.1795","0.115","-0.0194"
"172","P30044_PRDX5","P30044_PRDX5","0.1757","-0.0389","-0.0475","-0.1052"
"173","P01861_IGHG4","P01861_IGHG4","-0.004","-0.1627","0.1745","-0.029"
"174","P04745_AMY1A","P04745_AMY1A","-0.1737","0.0694","0.0465","0.0737"
"175","P61769_B2M","P61769_B2M","-0.0082","0.0812","-0.1707","0.1201"
"176","CON__P02538_KRT6A","CON__P02538_KRT6A","0.1411","0.0943","-0.1672","-0.065"
"177","P05164_3_MPO","P05164_3_MPO","0.0774","0.1355","-0.0499","-0.1664"
"178","P16403_HIST1H1C","P16403_HIST1H1C","-0.1281","-0.0195","-0.002","0.1659"
"179","Q13404_UBE2V1","Q13404_UBE2V1","0.0681","-0.1646","0.0633","0.0167"
"180","A0A0A0MTS2_GPI","A0A0A0MTS2_GPI","0.0101","0.0835","0.0604","-0.1628"
"181","P62258_YWHAE","P62258_YWHAE","0.1441","-0.0747","0.0659","-0.1616"
"182","O60888_2_CUTA","O60888_2_CUTA","-0.1537","-0.012","0.0214","0.1608"
"183","P52566_ARHGDIB","P52566_ARHGDIB","0.0795","0.0185","-0.1606","0.0729"
"184","P68871_HBB","P68871_HBB","0.1596","-0.1282","-0.0377","-0.009"
"185","A0A087WV47_IGHG1","A0A087WV47_IGHG1","0.0834","-0.1569","0.0936","-0.0422"
"186","P20061_TCN1","P20061_TCN1","-0.142","-0.1364","0.124","0.1567"
"187","P61158_ACTR3","P61158_ACTR3","-0.1566","0.0849","0.1034","-0.0251"
"188","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","-0.1376","0.1446","0.1476","-0.1559"
"189","P01616","P01616","0.026","-0.0258","-0.1391","0.153"
"190","P02787_TF","P02787_TF","-0.0498","-0.1525","0.1339","0.0579"
"191","P04040_CAT","P04040_CAT","0.0169","0.0932","-0.1523","0.0591"
"192","A0A087WZM5_FKBP1A","A0A087WZM5_FKBP1A","0.0444","-0.1506","0.0775","0.0135"
"193","P23280_CA6","P23280_CA6","-0.0972","0.1502","-0.0501","0.0155"
"194","Q68D86_CCDC102B","Q68D86_CCDC102B","-0.149","0.0677","0.0302","0.0659"
"195","P0C0L5_C4B","P0C0L5_C4B","0.1066","-0.1487","0.0746","-0.0551"
"196","Q14847_LASP1","Q14847_LASP1","0.0164","0.0844","-0.148","0.0637"
"197","P52209_PGD","P52209_PGD","0.0339","0.0293","0.071","-0.1473"
