"","id","name","12.5fmol-score","25fmol-score","50fmol-score"
"253","P63313_TMSB10","P63313_TMSB10","-0.0362","0.0423","-0.0108"
"254","Q9BQR3_PRSS27","Q9BQR3_PRSS27","-0.0351","0.0411","-0.0105"
"255","P20618_PSMB1","P20618_PSMB1","-0.0163","0.0408","-0.0291"
"256","Q01518_CAP1","Q01518_CAP1","-0.0109","0.0398","-0.0333"
"257","P14780_MMP9","P14780_MMP9","0.0174","0.0181","-0.0376"
"258","P08571_CD14","P08571_CD14","0.0189","-0.0361","0.0212"
"259","P01833_PIGR","P01833_PIGR","0.0357","-0.006","-0.029"
"260","P07858_CTSB","P07858_CTSB","0.0335","-0.0116","-0.0206"
"261","P06314_IGKV4-1","P06314_IGKV4-1","-0.0321","0.0334","-0.0051"
"262","A0A087WZW8","A0A087WZW8","-0.0283","0.0306","-0.0057"
"263","P06753-2_TPM3","P06753-2_TPM3","0.0116","-0.0304","0.0221"
"264","P08107_HSPA1A","P08107_HSPA1A","0.0229","0.0054","-0.0289"
"265","P04745_AMY1A","P04745_AMY1A","0.0222","0.0055","-0.0283"
"266","P80748","P80748","-0.026","0.0098","0.0151"
"267","P17858_PFKL","P17858_PFKL","-0.0171","0.0255","-0.0112"
"268","A0A0A0MS15","A0A0A0MS15","-0.0049","0.0244","-0.0223"
"269","E9PK25_CFL1","E9PK25_CFL1","-0.0243","0.0136","0.0092"
"270","P01779","P01779","0.0217","8e-04","-0.0226"
"271","P01623","P01623","-0.0166","0.0225","-0.0084"
"272","A0A087WW89","A0A087WW89","-0.0024","0.02","-0.0198"
"273","P36952_SERPINB5","P36952_SERPINB5","0.0032","0.0148","-0.0197"
"274","P50395_GDI2","P50395_GDI2","0.0145","0.0042","-0.0192"
"275","P37837_TALDO1","P37837_TALDO1","0.0101","0.007","-0.0179"
"276","P26038_MSN","P26038_MSN","-0.0059","0.0176","-0.0136"
"277","P06702_S100A9","P06702_S100A9","-0.0122","0.0152","-0.0047"
"278","P01622","P01622","0.0023","0.008","-0.0111"
"279","A0A087WX49_IGLL5","A0A087WX49_IGLL5","-0.0095","-0.0012","0.0108"
"280","P05109_S100A8","P05109_S100A8","0.0108","-0.0099","2e-04"
"281","P08238_HSP90AB1","P08238_HSP90AB1","-3e-04","-0.0027","0.0033"
