protein,protein frequency,X12.5fmol_C1,X12.5fmol_C2,X12.5fmol_C3,X12.5fmol_C4,X12.5fmol_C5,X12.5fmol_Ro,X12.5fmol_C8,X12.5fmol_C9,X12.5fmol_C10,X25fmol_semtumorS36,X25fmol_semtumorS09,X25fmol_semtumorS40,X25fmol_semtumorS49,X25fmol_semtumorS55,X25fmol_semtumorS57,X25fmol_semtumorS61,X25fmol_semtumorS64,X25fmol_semtumorS68,X25fmol_semtumorT16,X50fmol_T1T2S17,X50fmol_T1T2S57,X50fmol_T1T2S77,X50fmol_T1T2S78,X50fmol_T1T2S79,X50fmol_T1T2T12,X50fmol_T1T2T20,X50fmol_T1T2T22,X50fmol_T1T2T23,X100fmol_T3T4S44,X100fmol_T3T4S45,X100fmol_T3T4S81,X100fmol_T3T4S82,X100fmol_T3T4T13,X100fmol_T3T4T2,X100fmol_T3T4T5,X100fmol_T3T4T65,X100fmol_T3T4T9,X100fmol_T3T4S32
A0A024R6X1_CES2    ,4633               ,22.39142           ,21.8697            ,23.79084           ,23.35904           ,22.61349           ,22.14604           ,23.17141           ,22.7577            ,22.92236           ,22.82483           ,22.685             ,0                  ,22.37111           ,0                  ,0                  ,22.26267           ,21.65648           ,24.40775           ,21.69757           ,0                  ,22.54028           ,0                  ,22.15054           ,23.32155           ,22.01601           ,22.5214            ,22.18909           ,23.33674           ,21.68761           ,22.64264           ,21.76276           ,21.14694           ,0                  ,21.1187            ,0                  ,21.21939           ,21.36357           ,22.25566           
A0A075B6L0_IGLC3   ,2                  ,29.63977           ,29.25027           ,29.00153           ,28.9169            ,29.77483           ,29.7997            ,30.08778           ,29.58848           ,28.85204           ,30.08967           ,30.15641           ,29.75878           ,29.26024           ,29.83065           ,30.17878           ,31.21709           ,29.94294           ,28.63378           ,29.89851           ,28.69122           ,29.31508           ,30.41266           ,30.46012           ,30.39468           ,29.95671           ,28.4371            ,28.89273           ,29.0748            ,30.71874           ,29.628             ,30.33255           ,30.08195           ,28.00459           ,29.19573           ,27.9359            ,30.27775           ,28.43018           ,29.11602           
A0A087WVW2_IGHG3   ,5184               ,22.43176           ,0                  ,22.35192           ,22.89623           ,22.92745           ,23.6371            ,23.28814           ,23.83779           ,24.17995           ,27.61604           ,24.17957           ,26.88983           ,23.78107           ,24.65261           ,25.78249           ,26.38535           ,24.16231           ,25.09079           ,24.47364           ,24.124             ,26.11519           ,25.13367           ,23.40354           ,23.02063           ,24.39624           ,23.45337           ,23.59184           ,24.47599           ,25.42928           ,21.92303           ,23.02135           ,25.6502            ,25.77092           ,24.18843           ,26.93719           ,26.95903           ,24.46588           ,23.69996           
P06331             ,52                 ,21.91097           ,21.32476           ,21.43913           ,21.67064           ,21.95138           ,22.25615           ,22.00141           ,21.56286           ,21.40992           ,21.38974           ,0                  ,21.84318           ,21.46742           ,21.67465           ,21.97635           ,20.74804           ,22.12698           ,21.27986           ,22.08105           ,21.52874           ,21.1278            ,22.74028           ,22.81141           ,22.31512           ,22.24389           ,0                  ,22.03674           ,21.33963           ,22.28323           ,21.40795           ,22.19934           ,22.0278            ,20.8798            ,0                  ,20.95091           ,0                  ,0                  ,21.44455           
A0A075B6R9         ,0                  ,20.58555           ,0                  ,21.02337           ,21.25107           ,22.34524           ,22.60334           ,21.52769           ,20.46224           ,21.47912           ,23.93166           ,21.93222           ,0                  ,21.08382           ,0                  ,21.46827           ,24.86924           ,21.031             ,21.95216           ,20.5904            ,20.07366           ,21.38406           ,21.67629           ,21.59905           ,22.04374           ,21.24609           ,0                  ,21.84291           ,20.50514           ,21.26905           ,20.77475           ,21.64482           ,21.66032           ,21.19334           ,20.95929           ,22.80705           ,21.96744           ,22.00477           ,21.82322           
P06310             ,0                  ,22.68885           ,22.07708           ,22.17664           ,22.52712           ,22.77082           ,22.97058           ,23.45914           ,23.02533           ,22.17843           ,22.53198           ,23.57439           ,22.98572           ,22.78447           ,23.08084           ,23.15728           ,24.61144           ,22.38509           ,22.7777            ,22.06214           ,22.61531           ,23.50021           ,23.56407           ,24.3868            ,22.82227           ,23.60196           ,0                  ,23.43733           ,22.35035           ,23.24232           ,22.62725           ,23.58072           ,24.18041           ,21.97593           ,23.97132           ,22.23058           ,23.78257           ,23.24627           ,22.19715           
A0A087WSX4         ,0                  ,21.382             ,0                  ,20.4107            ,21.04387           ,21.26802           ,22.38232           ,22.33794           ,22.05867           ,20.97666           ,22.70449           ,19.92233           ,21.25914           ,21.15066           ,21.72862           ,0                  ,23.89671           ,21.67129           ,21.19779           ,21.29429           ,21.177             ,22.02992           ,24.02039           ,23.20877           ,21.80381           ,21.99269           ,0                  ,21.54128           ,0                  ,21.47857           ,20.91276           ,0                  ,22.66099           ,0                  ,0                  ,22.54359           ,23.08678           ,23.47407           ,22.85707           
A0A087WT59_TTR     ,0                  ,25.35118           ,25.57071           ,24.67352           ,25.61552           ,0                  ,25.9402            ,27.07337           ,26.16106           ,24.88073           ,26.04654           ,26.38563           ,23.45951           ,26.79872           ,25.84668           ,26.8087            ,25.928             ,24.79357           ,24.07292           ,27.57845           ,24.58869           ,27.16433           ,27.80088           ,24.08229           ,24.48536           ,26.08592           ,24.59616           ,25.68982           ,27.18225           ,27.94358           ,26.09746           ,25.43838           ,24.17387           ,26.91319           ,25.88068           ,24.35225           ,28.04067           ,24.66844           ,25.60045           
P19823_ITIH2       ,0                  ,23.03103           ,22.60313           ,0                  ,22.16803           ,0                  ,22.50339           ,20.40561           ,21.26516           ,0                  ,24.28616           ,21.69013           ,21.45829           ,22.02665           ,22.02651           ,22.91858           ,22.03483           ,0                  ,21.16852           ,23.77836           ,21.91616           ,24.08627           ,22.93508           ,0                  ,0                  ,22.63806           ,0                  ,22.38414           ,0                  ,23.46089           ,0                  ,0                  ,24.09168           ,23.81323           ,0                  ,21.55338           ,22.69279           ,20.21027           ,0                  
A0A087WZM5_FKBP1A  ,0                  ,22.77086           ,0                  ,22.78556           ,21.19604           ,0                  ,0                  ,23.30675           ,23.21854           ,23.08018           ,22.33142           ,22.77794           ,24.28673           ,23.75725           ,0                  ,21.78373           ,22.5238            ,22.14193           ,22.56477           ,0                  ,22.61603           ,22.23593           ,22.08466           ,22.03758           ,22.61787           ,22.36834           ,0                  ,22.45558           ,0                  ,0                  ,23.66101           ,22.25681           ,21.52052           ,21.40582           ,23.45663           ,0                  ,20.32378           ,22.18329           ,24.96              
