*N,acc_tree,groups
3,0.833333333333,CON__P00761,P05386_RPLP1,P62942_FKBP1A
3,0.833333333333,CON__P00761,P05386_RPLP1,P09228_CST2
3,0.944444444444,CON__P00761,P05386_RPLP1,Q07654_TFF3
3,0.833333333333,CON__P00761,P05386_RPLP1,P08603_CFH
3,0.833333333333,CON__P00761,P05386_RPLP1,P02675_FGB
3,0.833333333333,CON__P00761,P05386_RPLP1,P04792_HSPB1
3,0.944444444444,CON__P00761,P05386_RPLP1,P20061_TCN1
3,0.833333333333,CON__P00761,P05386_RPLP1,P21333_FLNA
3,0.833333333333,CON__P00761,P05386_RPLP1,P01023_A2M
3,0.833333333333,CON__P00761,P05386_RPLP1,P09382_LGALS1
3,0.944444444444,CON__P00761,P05386_RPLP1,P04217_A1BG
3,0.833333333333,CON__P00761,P05386_RPLP1,P02647_APOA1
3,0.944444444444,CON__P00761,P05386_RPLP1,P06331
3,0.944444444444,CON__P00761,P05386_RPLP1,P01876_IGHA1
3,0.833333333333,CON__P00761,P05386_RPLP1,P16401_HIST1H1B
3,0.944444444444,CON__P00761,P05386_RPLP1,P07900_2_HSP90AA1
3,0.944444444444,CON__P00761,P05386_RPLP1,P06702_S100A9
3,0.833333333333,CON__P00761,P05386_RPLP1,P0C0L5_C4B
3,0.833333333333,CON__P00761,P05386_RPLP1,P62937_PPIA
3,0.833333333333,CON__P00761,P05386_RPLP1,P40925_3_MDH1
3,0.833333333333,CON__P00761,P05386_RPLP1,P01622
3,0.944444444444,CON__P00761,P05386_RPLP1,CON__P01966
3,0.944444444444,CON__P00761,P05386_RPLP1,P31946_2
3,0.888888888889,CON__P00761,P05386_RPLP1,P30740_SERPINB1
3,0.833333333333,CON__P00761,P05386_RPLP1,P61160_2_ACTR2
3,0.944444444444,CON__P00761,P05386_RPLP1,Q68D86_CCDC102B
3,0.888888888889,CON__P00761,P05386_RPLP1,P14618_PKM2
3,0.833333333333,CON__P00761,P05386_RPLP1,E9PK25_CFL1
3,0.888888888889,CON__P00761,P05386_RPLP1,P23280_CA6
3,0.888888888889,CON__P00761,P05386_RPLP1,P01616
3,0.833333333333,CON__P00761,P05386_RPLP1,Q8TAX7_MUC7
3,0.833333333333,CON__P00761,P05386_RPLP1,P00558_PGK1
3,0.944444444444,CON__P00761,P05386_RPLP1,P06870_KLK1
3,0.833333333333,CON__P00761,P05386_RPLP1,P02671_FGA
3,0.833333333333,CON__P00761,P05386_RPLP1,P02787_TF
3,0.833333333333,CON__P00761,P05386_RPLP1,P16403_HIST1H1C
3,0.833333333333,CON__P00761,P05386_RPLP1,Q9UKR3_KLK13
3,0.888888888889,CON__P00761,P05386_RPLP1,P55058_PLTP
3,0.833333333333,CON__P00761,P05386_RPLP1,P02750_LRG1
3,0.833333333333,CON__P00761,P13796_LCP1,P01009_SERPINA1
3,0.833333333333,CON__P00761,P13796_LCP1,P02675_FGB
3,0.833333333333,CON__P00761,P23381_WARS,P08603_CFH
3,0.888888888889,CON__P00761,P23381_WARS,P02675_FGB
3,0.833333333333,CON__P00761,P23381_WARS,P01859_IGHG2
3,0.888888888889,CON__P00761,O15145_ARPC3,P01009_SERPINA1
3,0.833333333333,CON__P00761,P61626_LYZ,P01009_SERPINA1
3,0.833333333333,CON__P00761,P09429_HMGB1,B7Z6Z4_MYL6
3,0.888888888889,CON__P00761,P09429_HMGB1,P06870_KLK1
3,0.833333333333,CON__P00761,A0A075B6L0_IGLC3,P01009_SERPINA1
3,0.888888888889,CON__P00761,A0A075B6L0_IGLC3,P01008_SERPINC1
3,0.833333333333,CON__P00761,A0A075B6L0_IGLC3,P00330_ADH1
3,0.833333333333,CON__P00761,Q8TDL5_BPIFB1,P01009_SERPINA1
3,0.888888888889,CON__P00761,Q8TDL5_BPIFB1,P01008_SERPINC1
3,0.833333333333,CON__P00761,Q8TDL5_BPIFB1,P02675_FGB
3,0.833333333333,CON__P00761,P01009_SERPINA1,A0A075B6R9
3,0.833333333333,CON__P00761,P01009_SERPINA1,P13688_CEACAM1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P63261_ACTG1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P20618_PSMB1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P04264_KRT1
3,0.833333333333,CON__P00761,P01009_SERPINA1,O00391_QSOX1
3,0.833333333333,CON__P00761,P01009_SERPINA1,Q9HD89_RETN
3,0.888888888889,CON__P00761,P01009_SERPINA1,P01763
3,0.888888888889,CON__P00761,P01009_SERPINA1,P10412_HIST1H1E
3,0.833333333333,CON__P00761,P01009_SERPINA1,P25311_AZGP1
3,0.833333333333,CON__P00761,P01009_SERPINA1,P19823_ITIH2
3,0.888888888889,CON__P00761,P01009_SERPINA1,P62942_FKBP1A
3,0.833333333333,CON__P00761,P01009_SERPINA1,P06396_GSN
3,0.888888888889,CON__P00761,P01009_SERPINA1,A0A0A0MTS2_GPI
3,0.833333333333,CON__P00761,P01009_SERPINA1,B7Z6Z4_MYL6
3,0.833333333333,CON__P00761,P01009_SERPINA1,P08603_CFH
3,0.833333333333,CON__P00761,P01009_SERPINA1,P02675_FGB
3,0.833333333333,CON__P00761,P01009_SERPINA1,P04792_HSPB1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P21333_FLNA
3,0.833333333333,CON__P00761,P01009_SERPINA1,P09382_LGALS1
3,0.833333333333,CON__P00761,P01009_SERPINA1,P02647_APOA1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P06331
3,0.833333333333,CON__P00761,P01009_SERPINA1,P24158_PRTN3
3,0.888888888889,CON__P00761,P01009_SERPINA1,P16401_HIST1H1B
3,0.833333333333,CON__P00761,P01009_SERPINA1,P0C0L5_C4B
3,0.833333333333,CON__P00761,P01009_SERPINA1,A0A087WT59_TTR
3,0.833333333333,CON__P00761,P01009_SERPINA1,P00330_ADH1
3,0.888888888889,CON__P00761,P01009_SERPINA1,P06454_PTMA
3,0.833333333333,CON__P00761,P01009_SERPINA1,P31946_2
3,0.888888888889,CON__P00761,P01009_SERPINA1,P30740_SERPINB1
3,0.833333333333,CON__P00761,P01009_SERPINA1,Q68D86_CCDC102B
3,0.833333333333,CON__P00761,P01009_SERPINA1,P05109_S100A8
3,0.833333333333,CON__P00761,P01009_SERPINA1,E9PK25_CFL1
