	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_Ro	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
genes	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol
CON__P35527_KRT9	19.74361	18.41382	23.51689	0	0	23.58245	21.59537	21.87995	23.1676	23.55882	23.30633	23.76385	22.44005	22.45485	21.28788	20.95419	24.10093	0	21.81073	0	0	23.40276
CON__P60712_ACTB	27.44348	26.26607	25.98061	26.78631	25.54884	26.64664	25.43832	23.76446	27.00667	26.45359	25.02111	23.87145	26.85745	25.38321	26.07267	26.53554	25.37746	25.41229	25.44919	27.10129	25.58454	24.00256
CON__Q3MHH8	25.77128	25.92105	25.00736	23.97044	26.5188	20.43787	30.04505	21.97463	21.68671	21.51567	26.32672	25.83372	29.57452	16.97017	27.70477	24.64977	23.39598	0	20.11057	23.91889	19.4171	24.03498
O75083_WDR1	0	20.85064	21.05881	0	0	21.59446	22.08229	21.18265	21434	20.83707	21.07581	20.86612	20.79122	20.91123	20.75132	21.21531	21.16208	20.50659	0	0	21.25234	0
D6RF35_GC	24.75797	22.79148	26.23911	24.7454	24.7686	25.10605	25.22751	28.25939	26.24532	24.19558	26.82505	25.12786	25.48056	26.52246	26.8629	26.84182	26.02011	24.9032	26.00569	25.96495	25.46058	26.18128
E5RHG6_TBCA	21.54472	21.04627	21.09507	21.9577	0	22.15814	21.17871	22.55574	21.95482	23.06017	20.77555	20.98238	21.41864	22.54005	21.63507	21.99783	20.30263	21.06131	21.60418	22.97392	21.62983	22.99821
E7EQR4_EZR	21.14351	0	22.04853	21.55169	21.73285	21.20628	21.40447	21.42941	20.78668	21.73603	0	21.96038	21.37613	22.51094	21.1175	0	21.28314	21.84969	0	0	21.59031	20.89386
P02788_LTF	30.52906	30.81917	28.97153	31.04218	29.95199	31.5027	31.47213	28.22394	28.28025	30.47092	29.98346	30.77722	29.77645	31.69582	30.56638	31.11067	31.56806	29.85635	28.37119	29.65062	30.47547	28.83337
E7EX29_YWHAZ	25.62984	26.29969	27.20574	27.40462	24.4188	26.1745	25.43962	26.28611	25.77208	26.73324	24.46563	24.87755	25.90573	24.90853	25.70535	26.74484	24.73542	25.01065	25.50127	24.69859	26.1837	0
P04406_GAPDH	27.07184	26.6277	27.36803	28.30539	26.25753	27.40981	27.74413	26.4148	27.52589	25.15352	25.17722	25.35703	26.89931	27.04187	26.74201	25.57626	25.86335	25.34817	26.14104	27.31527	25.86103	26.81531
