*N,acc_tree,groups
3,0.861111111111,P02760_AMBP,P00330_ADH1,P02787_TF
3,0.861111111111,P02760_AMBP,P00330_ADH1,P62937_PPIA
3,0.861111111111,P02760_AMBP,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02760_AMBP,P00330_ADH1,P02769_BSA
3,0.861111111111,P00489_GPB,P31946_2,P00330_ADH1
3,0.861111111111,P00489_GPB,Q14697_2_GANAB,P02769_BSA
3,0.861111111111,P00489_GPB,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P31946_2,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P31946_2,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P31946_2,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,P31946_2,P00330_ADH1,P02763_ORM1
3,0.861111111111,P31946_2,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P31946_2,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P31946_2,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P31946_2,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P31946_2,P00330_ADH1,P02787_TF
3,0.861111111111,P31946_2,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,Q14697_2_GANAB,P00330_ADH1,O00391_QSOX1
3,0.861111111111,Q14697_2_GANAB,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P00330_ADH1,O00391_QSOX1,Q14974_KPNB1
3,0.861111111111,P00330_ADH1,O00391_QSOX1,P02787_TF
3,0.861111111111,P00330_ADH1,P01009_SERPINA1,P01008_SERPINC1
3,0.861111111111,P00330_ADH1,P02763_ORM1,P02787_TF
3,0.861111111111,P00330_ADH1,C9JC84_FGG,Q9NQ38_3_SPINK5
3,0.861111111111,P00330_ADH1,C9JC84_FGG,P02787_TF
3,0.861111111111,P00330_ADH1,C9JC84_FGG,P01008_SERPINC1
3,0.861111111111,P00330_ADH1,O95274_LYPD3,P02787_TF
3,0.861111111111,P00330_ADH1,Q9UBG3_CRNN,P02787_TF
3,0.861111111111,P00330_ADH1,Q14974_KPNB1,P02787_TF
3,0.861111111111,P00330_ADH1,Q14974_KPNB1,P01008_SERPINC1
3,0.861111111111,P00330_ADH1,P62937_PPIA,P01008_SERPINC1
3,0.861111111111,P01009_SERPINA1,Q9NQ38_3_SPINK5,P02769_BSA
3,0.861111111111,P01009_SERPINA1,Q9UBG3_CRNN,P02769_BSA
3,0.861111111111,P01009_SERPINA1,Q14974_KPNB1,P02769_BSA
3,0.861111111111,P01009_SERPINA1,P01008_SERPINC1,P02769_BSA
